Date,Type,Amount,Counterparty,Purpose
2019-02-19,in,7000000,"Deutsche Bank","Unknown"
2019-01-10,out,2727941,"The Haze Trust (Checking)","Unknown"
2019-01-10,in,2727941,"Deutsche Bank","Unknown"
2019-01-10,in,6000000,"Deutsche Bank","Unknown"
2018-12-19,out,5000000,"Southern Financial LLC (Checking)","Unknown"
2018-12-13,in,58328,"Deutsche Bank","Unknown"
2018-10-24,out,5000000,"Southern Financial LLC (Checking)","Unknown"
2018-10-01,out,10000000,"Southern Trust Company Inc. (Checking)","Unknown"
2018-09-28,out,8000000,"Southern Financial LLC (Checking)","Unknown"
2018-09-28,in,8000000,"Deutsche Bank","Unknown"
2018-09-17,out,5000000,"Southern Financial LLC (DBAGNY)","Unknown"
2018-08-20,out,5000000,"Southern Financial LLC (Checking)","Unknown"
2018-08-20,in,5000000,"Deutsche Bank","Unknown"
2018-06-22,out,9000000,"Southern Financial LLC (Checking)","Unknown"
2014-07-16,in,2500000,"Deutsche Bank","Unknown"
Unknown Date,in,818,"Deutsche Bank","Unknown"
Unknown Date,out,3738700,"Financial Trust","Unknown"
